codigo,tipo,titulo,capítulo,secuencia,FEN,bando_que_mueve,objetivo,nivel,comentario_blancas,comentario_negras,continuidad_didactica,referencia_en_manual
RAR-M03-P5,parada,Parada 5,Parte X · RAR-M03,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5 e1g1 b8c6 f3e5 c8d7 e2f3 a8c8 d2d3 d5d4 e3d4 c5d4 e5d7 d8d7 b1d2 c6d5 f3d5 d7d5 a2a3 e7e5 f4f5 f6e7 f5f6 g7h6 f6e7 h6e3,2r2rk1/pp2Pp1p/6p1/3qp3/3p4/PP1Pb3/1BPN2PP/R2Q1RK1 w - - 1 19,Blancas,"con un peón blanco avanzado en e7 y la torre negra lista para e8, ¿cuál es la prioridad defensiva?",intermedio,"Plan rival a anticipar: El peón e7 parece peligroso, pero el negro debe bloquearlo delante: ...Tfe8 y luego ...Txe7 cuando la táctica lo permita.","Respuesta de repertorio: El peón e7 parece peligroso, pero el negro debe bloquearlo delante: ...Tfe8 y luego ...Txe7 cuando la táctica lo permita. 18...Ae3+ gana un tiempo sobre el rey antes de colocar la torre en e8. Capturar peones laterales sería irrelevante mientras exista la amenaza de promoción. La transición al final favorece al negro si elimina el peón pasado y conserva una torre activa en la columna e.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M03-P5
RAR-E01,ejercicio,Ejercicio 01,Parte XIII,c2c4 e7e5,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq e6 0 2,Blancas,"Juegan blancas tras 1.c4 e5. Si 2.Cc3, ¿qué respuesta negra desarrolla y prepara la ruptura temática?",base,"Decisión a reconocer: Juegan blancas tras 1.c4 e5. Si 2.Cc3, ¿qué respuesta negra desarrolla y prepara la ruptura temática?","2...Cf6. Ataca e4, apoya ...d5 y permite ...Cc6. 2...f5?! gana espacio, pero mueve otro peón, debilita e6/g6 y deja el rey en e8. La continuación de repertorio es 2.Cc3 Cf6 3.g3 d5.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E01
RAR-E02,ejercicio,Ejercicio 02,Parte XIII,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6,r1bqkb1r/ppp2ppp/1nn5/4p3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 7,Blancas,"En la Inglesa desarrollada, ¿qué debe hacer el negro si el blanco prepara d4 o Ce4?",base,"Decisión a reconocer: En la Inglesa desarrollada, ¿qué debe hacer el negro si el blanco prepara d4 o Ce4?","prioriza ...Ae7 y ...O-O, seguido de ...Te8; si Ce4 aparece, ...Cd4 es una respuesta concreta. ...f5 inmediato es inferior porque abre el ala de rey antes de completar el desarrollo.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E02
RAR-E03,ejercicio,Ejercicio 03,Parte XIII,g1f3 d7d5,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq d6 0 2,Blancas,"Tras 1.Cf3 d5, ¿qué respuesta negra conserva flexibilidad frente a 2.g3?",base,"Decisión a reconocer: Tras 1.Cf3 d5, ¿qué respuesta negra conserva flexibilidad frente a 2.g3?","2...Cf6. Desarrolla, controla e4 y deja abiertas ...g6, ...e6 y ...c5. 2...d4?! avanzaría sin saber dónde estarán c3/e3 y puede regalar c4 como casilla de bloqueo.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E03
RAR-E04,ejercicio,Ejercicio 04,Parte XIII,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6,r1bq1rk1/pp2ppbp/2n2np1/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - - 1 8,Blancas,"En el centro Réti con d5-c5 frente a e4-d3, ¿cuándo encaja ...d4?",base,"Decisión a reconocer: En el centro Réti con d5-c5 frente a e4-d3, ¿cuándo encaja ...d4?","...d4 encaja después de c3, porque gana espacio y obliga a decidir cxd4. Sin c3, mantener tensión o jugar ...e5 suele ser más preciso. La respuesta negra debe prever Cc4 como puesto de bloqueo.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E04
RAR-E05,ejercicio,Ejercicio 05,Parte XIII,f2f4 d7d5,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq d6 0 2,Blancas,"Tras 1.f4 d5, ¿qué debilidad blanca debes recordar sin buscar una táctica artificial?",base,"Decisión a reconocer: Tras 1.f4 d5, ¿qué debilidad blanca debes recordar sin buscar una táctica artificial?","e3 y la diagonal e1-h4 son más sensibles, pero el método correcto es ...Cf6, ...g6, ...Ag7 y enroque. ...Dh4+ prematuro puede perder tiempos frente a g3/Cf3.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E05
RAR-E06,ejercicio,Ejercicio 06,Parte XIII,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5 e1g1 b8c6,r1bq1rk1/pp2ppbp/2n2np1/2pp4/5P2/1P2PN2/PBPPB1PP/RN1Q1RK1 w - - 2 8,Blancas,"En Bird con ...c5 y ...Cc6, el blanco puede jugar Ce5. ¿Qué preparación negra hace útil ...d4?",base,"Decisión a reconocer: En Bird con ...c5 y ...Cc6, el blanco puede jugar Ce5. ¿Qué preparación negra hace útil ...d4?",...Ad7 y ...Tc8. Esas jugadas coordinan las piezas antes de ...d4. El negro no necesita expulsar Ce5 de inmediato; necesita que la ruptura central abra líneas para piezas ya activas.,Ejercicio básico con solución específica y descarte de alternativa.,RAR-E06
RAR-E07,ejercicio,Ejercicio 07,Parte XIII,b2b3 e7e5,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq e6 0 2,Blancas,"Tras 1.b3 e5, ¿por qué ...e4 no debe jugarse en la segunda jugada?",base,"Decisión a reconocer: Tras 1.b3 e5, ¿por qué ...e4 no debe jugarse en la segunda jugada?","porque todavía no existen ...Cf6, ...Cc6 ni ...Te8. El avance convertiría e4 en un objetivo y cedería d4. Primero 2.Ab2 Cc6 3.e3 Cf6; más tarde, con desarrollo y rey seguro, ...e4 puede ser temático.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E07
RAR-E08,ejercicio,Ejercicio 08,Parte XIII,b2b3 e7e5 c1b2 b8c6 e2e3 g8f6 f1b5 f8d6 g1f3 e8g8 e1g1 f8e8 d2d4 e5e4,r1bqr1k1/pppp1ppp/2nb1n2/1B6/3Pp3/1P2PN2/PBP2PPP/RN1Q1RK1 w - - 0 8,Blancas,"En la estructura Larsen con ...Te8 y d4, ¿cuándo sí es concreto ...e4?",base,"Decisión a reconocer: En la estructura Larsen con ...Te8 y d4, ¿cuándo sí es concreto ...e4?",cuando ...e4 gana un tiempo sobre Cf3 y el centro puede sostenerse con ...d5. Después el negro debe desarrollar el alfil c8; defender e4 con ...f5 por reflejo debilitaría demasiado el rey.,Ejercicio básico con solución específica y descarte de alternativa.,RAR-E08
RAR-E09,ejercicio,Ejercicio 09,Parte XIII,b2b4 e7e5,rnbqkbnr/pppp1ppp/8/4p3/1P6/8/P1PPPPPP/RNBQKBNR w KQkq e6 0 2,Blancas,"Tras 1.b4 e5, ¿qué condición debe cumplir ...Axb4?",base,"Decisión a reconocer: Tras 1.b4 e5, ¿qué condición debe cumplir ...Axb4?","el alfil debe poder retirarse a a5/e7 y el negro no debe retrasar el enroque. Si la captura obliga a varios movimientos del mismo alfil mientras el blanco juega d4, el peón extra pierde valor práctico.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E09
RAR-E10,ejercicio,Ejercicio 10,Parte XIII,b2b4 e7e5 c1b2 f8b4 e2e3 d7d6 g1f3 g8f6 f1e2 e8g8 e1g1 b8c6 a2a3 b4a5 d2d4 e5d4,r1bq1rk1/ppp2ppp/2np1n2/b7/3p4/P3PN2/1BP1BPPP/RN1Q1RK1 w - - 0 9,Blancas,"En Sokolsky, después de a3 ...Aa5 y d4, ¿qué cambio central ayuda a activar las torres negras?",base,"Decisión a reconocer: En Sokolsky, después de a3 ...Aa5 y d4, ¿qué cambio central ayuda a activar las torres negras?","...exd4. Aclara el centro y permite ...Te8/Ab6. ...e4 cerraría la posición y podría dejar d4 como casilla fuerte blanca, además de mantener al alfil a5 fuera de juego.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E10
RAR-E11,ejercicio,Ejercicio 11,Parte XIII,b1c3 d7d5,rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq d6 0 2,Blancas,"Tras 1.Cc3 d5, ¿qué desarrollo negro protege d5 y controla e4?",base,"Decisión a reconocer: Tras 1.Cc3 d5, ¿qué desarrollo negro protege d5 y controla e4?","...Cf6. Es la pieza natural: sostiene d5, controla e4 y deja ...c5/e6 disponibles. ...d4 inmediato gana espacio pero puede ceder e4 y crear una cadena rígida.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E11
RAR-E12,ejercicio,Ejercicio 12,Parte XIII,g2g3 e7e5 f1g2 d7d5 d2d3 g8f6 g1f3 b8c6 e1g1 f8e7,r1bqk2r/ppp1bppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 5 6,Blancas,"En 1.g3 e5 2.Ag2 d5, ¿qué pieza negra debe salir antes de avanzar el centro otra vez?",base,"Decisión a reconocer: En 1.g3 e5 2.Ag2 d5, ¿qué pieza negra debe salir antes de avanzar el centro otra vez?","...Cf6, seguido de ...Cc6 y ...Ae7. Avanzar ...d4 o ...e4 sin desarrollo puede convertir el espacio en objetivos. El rey debe estar cerca del enroque antes de abrir el centro.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E12
RAR-E13,ejercicio,Ejercicio 13,Parte XIII,c2c4 e7e5 b1c3 g8f6,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3,Blancas,"En la Inglesa, ¿qué pieza negra sostiene simultáneamente e5 y d4 tras el desarrollo?",base,"Decisión a reconocer: En la Inglesa, ¿qué pieza negra sostiene simultáneamente e5 y d4 tras el desarrollo?","el caballo de c6. Su coordinación con Cf6 permite ...d5 y frena d4. Si se cambia sin razón, el blanco puede ocupar d5/d4 con más facilidad.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E13
RAR-E14,ejercicio,Ejercicio 14,Parte XIII,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5,rnbqkb1r/ppp2ppp/8/3np3/8/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 5,Blancas,"En una posición Réti cerrada, ¿conviene cambiar en d4 automáticamente?",base,"Decisión a reconocer: En una posición Réti cerrada, ¿conviene cambiar en d4 automáticamente?","no. El cambio solo es útil si deja un peón blanco objetivo o elimina un bloqueador. Si cxd4 abre c4 para un caballo blanco fuerte, mantener tensión puede ser mejor. La estructura, no la etiqueta, decide.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E14
RAR-E15,ejercicio,Ejercicio 15,Parte XIII,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6,r1bqkb1r/ppp2ppp/1nn5/4p3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 7,Blancas,"En Bird, ¿qué casilla central controla el peón f4 y cómo afecta al plan negro?",base,"Decisión a reconocer: En Bird, ¿qué casilla central controla el peón f4 y cómo afecta al plan negro?","e5. El negro suele atacar por ...c5 y ...d4, usando ...d5 como base. Forzar ...e5 contra un peón f4 bien apoyado puede regalar e5 a un caballo blanco y perder coordinación.",Ejercicio básico con solución específica y descarte de alternativa.,RAR-E15
RAR-E16,ejercicio,Ejercicio 16,Ampliación D,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8,r1bq1rk1/ppp1bppp/1nn5/4p3/8/2NP1NP1/PP2PPBP/R1BQ1RK1 w - - 1 9,Blancas,Juegan blancas tras el enroque negro. ¿Qué plan blanco debes anticipar y qué respuesta negra mantiene e5?,progresivo,Plan/candidata blanca de la posición: Juegan blancas tras el enroque negro. ¿Qué plan blanco debes anticipar y qué respuesta negra mantiene e5?,"espera 9.Ae3 y responde 9...Te8. La torre sostiene e5 y prepara ...Af8. 9...f5?! crea debilidades sin necesidad. La segunda candidata es ...Ae6, pero permite d4 con más libertad.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E16
RAR-E17,ejercicio,Ejercicio 17,Ampliación D,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8,r1bqrbk1/ppp2ppp/1nn5/4p3/8/2NPBNP1/PP2PPBP/2RQ1RK1 w - - 5 11,Blancas,El blanco puede 11.Ce4. Compara ...Cd4 y ...f5 como respuesta.,progresivo,Plan/candidata blanca de la posición: El blanco puede 11.Ce4. Compara ...Cd4 y ...f5 como respuesta.,"11...Cd4. Centraliza el caballo y prepara ...exd4 si hay cambio. ...f5 es inferior: debilita e6 y la diagonal del rey, y Ce4 puede seguir bien colocado.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E17
RAR-E18,ejercicio,Ejercicio 18,Ampliación D,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8 c3e4 c6d4 f3d4 e5d4,r1bqrbk1/ppp2ppp/1n6/8/3pN3/3PB1P1/PP2PPBP/2RQ1RK1 w - - 0 13,Blancas,"Tras 12.Cxd4 exd4, ¿qué jugada negra sostiene el peón avanzado y limita Cc5?",progresivo,"Plan/candidata blanca de la posición: Tras 12.Cxd4 exd4, ¿qué jugada negra sostiene el peón avanzado y limita Cc5?","13...c6. Sostiene d5, limita saltos y prepara ...Cd5. ...c5 inmediatamente fijaría d4 pero dejaría d5 más vulnerable y c-file sin preparación.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E18
RAR-E19,ejercicio,Ejercicio 19,Ampliación D,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8 c3e4 c6d4 f3d4 e5d4 e3f4 c7c6 e4c5 b6d5,r1bqrbk1/pp3ppp/2p5/2Nn4/3p1B2/3P2P1/PP2PPBP/2RQ1RK1 w - - 2 15,Blancas,"Con un caballo blanco en c5, ¿por qué ...Cd5 es una mejora de pieza?",progresivo,"Plan/candidata blanca de la posición: Con un caballo blanco en c5, ¿por qué ...Cd5 es una mejora de pieza?","...Cd5 controla b4, c3, e3 y f4 y desafía la presión blanca. ...b6 solo expulsa una pieza y crea huecos; ...Cd5 primero mejora la coordinación.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E19
RAR-E20,ejercicio,Ejercicio 20,Ampliación D,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8 c3e4 c6d4 f3d4 e5d4 e3f4 c7c6 e4c5 b6d5 f4d2 a7a5 f1e1 b7b6,r1bqrbk1/5ppp/1pp5/p1Nn4/3p4/3P2P1/PP1BPPBP/2RQR1K1 w - - 0 17,Blancas,"Después de ...b6, el blanco vuelve con Ce4. ¿Qué ruptura negra fija el centro y gana espacio?",progresivo,"Plan/candidata blanca de la posición: Después de ...b6, el blanco vuelve con Ce4. ¿Qué ruptura negra fija el centro y gana espacio?","...c5. Fija d4, gana espacio en ala de dama y restringe d3-d4. ...f5 sería menos coherente porque abre el rey y no resuelve el peón d4.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E20
RAR-E21,ejercicio,Ejercicio 21,Ampliación D,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8 c3e4 c6d4 f3d4 e5d4 e3f4 c7c6 e4c5 b6d5 f4d2 a7a5 f1e1 b7b6 c5e4 c6c5 a2a3 c8e6,r2qrbk1/5ppp/1p2b3/p1pn4/3pN3/P2P2P1/1P1BPPBP/2RQR1K1 w - - 1 19,Blancas,"Con peones negros c5-d4 y piezas coordinadas, el blanco juega e3. ¿Qué respuesta transforma la estructura?",progresivo,"Plan/candidata blanca de la posición: Con peones negros c5-d4 y piezas coordinadas, el blanco juega e3. ¿Qué respuesta transforma la estructura?","...dxe3. El cambio elimina la base e3 y abre líneas para las torres. Tras Axe3, el centro se simplifica hacia un final donde la actividad de torres pesa más que conservar espacio.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E21
RAR-E22,ejercicio,Ejercicio 22,Ampliación D,g1f3 d7d5 g2g3 g8f6,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3,Blancas,"Tras 1.Cf3 d5 2.g3 Cf6, ¿qué desarrollo blanco esperas y cómo completa el negro el fianchetto?",progresivo,"Plan/candidata blanca de la posición: Tras 1.Cf3 d5 2.g3 Cf6, ¿qué desarrollo blanco esperas y cómo completa el negro el fianchetto?","3.Ag2 g6. Las negras mantienen d5, preparan ...Ag7 y enroque. 3...c5 también es posible, pero el repertorio prefiere terminar la seguridad del rey antes de definir el centro.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E22
RAR-E23,ejercicio,Ejercicio 23,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7,rnbqk2r/ppp1ppbp/5np1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 2 5,Blancas,"Con ambos alfiles fianchettados, ¿qué jugada blanca debes permitir antes de decidir ...c5?",progresivo,"Plan/candidata blanca de la posición: Con ambos alfiles fianchettados, ¿qué jugada blanca debes permitir antes de decidir ...c5?",5.d3 O-O. Enrocar es más preciso que 5...d4?! porque el blanco aún no ha jugado c3/e4 y podría atacar la cadena con c4.,Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E23
RAR-E24,ejercicio,Ejercicio 24,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5,rnbq1rk1/pp2ppbp/5np1/2pp4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w - c6 0 7,Blancas,"Tras ...c5, el blanco juega e4. ¿Qué pieza negra debe desarrollar para sostener la presión sobre d4/e5?",progresivo,"Plan/candidata blanca de la posición: Tras ...c5, el blanco juega e4. ¿Qué pieza negra debe desarrollar para sostener la presión sobre d4/e5?","...Cc6. Desarrolla, sostiene d4 y prepara ...e5. ...d4 inmediato fijaría la posición sin haber decidido dónde va el caballo.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E24
RAR-E25,ejercicio,Ejercicio 25,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5,r1bq1rk1/pp3pbp/2n2np1/2ppp3/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 w - e6 0 9,Blancas,"Con ...e5 jugado, el blanco prepara c3. ¿Cuál es la señal concreta para ...d4?",progresivo,"Plan/candidata blanca de la posición: Con ...e5 jugado, el blanco prepara c3. ¿Cuál es la señal concreta para ...d4?","tras c3, ...d4 gana espacio y obliga a decidir cxd4. Si el blanco no juega c3, mantener tensión conserva más flexibilidad. El negro debe anticipar Cc4 como bloqueador.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E25
RAR-E26,ejercicio,Ejercicio 26,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4,r1bq1rk1/pp3pbp/2n2np1/4p3/3pP3/3P1NP1/PP1N1PBP/R1BQR1K1 w - - 0 11,Blancas,"Después de cxd4 ...cxd4, el caballo blanco llega a c4. ¿Qué maniobra negra prepara su cambio?",progresivo,"Plan/candidata blanca de la posición: Después de cxd4 ...cxd4, el caballo blanco llega a c4. ¿Qué maniobra negra prepara su cambio?",...Ce8 seguido de ...Cd6. Desde d6 desafía Cc4 y sostiene f5/e4. ...b5 para expulsarlo sería más debilitante y no desarrolla una pieza.,Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E26
RAR-E27,ejercicio,Ejercicio 27,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4 d2c4 f6e8 a2a4 c8e6,r2qnrk1/pp3pbp/2n1b1p1/4p3/P1NpP3/3P1NP1/1P3PBP/R1BQR1K1 w - - 1 13,Blancas,"Con Cc4 y a4, ¿qué desarrollo negro apunta a cambiar el bloqueador blanco?",progresivo,"Plan/candidata blanca de la posición: Con Cc4 y a4, ¿qué desarrollo negro apunta a cambiar el bloqueador blanco?","...Ae6, seguido de ...Cd6 y ...Cxc4 si conviene. La idea es transformar una casilla fuerte blanca en un peón c4 objetivo tras bxc4.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E27
RAR-E28,ejercicio,Ejercicio 28,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4 d2c4 f6e8 a2a4 c8e6 b2b3 e8d6 c1a3 d6c4,r2q1rk1/pp3pbp/2n1b1p1/4p3/P1npP3/BP1P1NP1/5PBP/R2QR1K1 w - - 0 15,Blancas,"Tras ...Cxc4 y bxc4, ¿qué torre negra debe ocupar una columna activa?",progresivo,"Plan/candidata blanca de la posición: Tras ...Cxc4 y bxc4, ¿qué torre negra debe ocupar una columna activa?",...Te8. La torre presiona e4 y prepara ...Dd7. Una torre en c8 tendría menos objetivos inmediatos porque el peón c4 está bloqueado.,Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E28
RAR-E29,ejercicio,Ejercicio 29,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4 d2c4 f6e8 a2a4 c8e6 b2b3 e8d6 c1a3 d6c4 b3c4 f8e8 a1b1 d8d7,r3r1k1/pp1q1pbp/2n1b1p1/4p3/P1PpP3/B2P1NP1/5PBP/1R1QR1K1 w - - 3 17,Blancas,"Con ...Dd7 y la torre en e8, el blanco juega Cg5. ¿Qué maniobra de alfil fuerza una concesión?",progresivo,"Plan/candidata blanca de la posición: Con ...Dd7 y la torre en e8, el blanco juega Cg5. ¿Qué maniobra de alfil fuerza una concesión?","...Ag4, provocando f3 y regresando a e6 si es necesario. El objetivo no es ganar material, sino debilitar casillas y mantener e-file activa.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E29
RAR-E30,ejercicio,Ejercicio 30,Ampliación D,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4 d2c4 f6e8 a2a4 c8e6 b2b3 e8d6 c1a3 d6c4 b3c4 f8e8 a1b1 d8d7 f3g5 e6g4 f2f3 g4e6,r3r1k1/pp1q1pbp/2n1b1p1/4p1N1/P1PpP3/B2P1PP1/6BP/1R1QR1K1 w - - 1 19,Blancas,"Tras f3 ...Ae6, el blanco puede Cxe6. ¿Con qué pieza recaptura el negro y qué plan nace?",progresivo,"Plan/candidata blanca de la posición: Tras f3 ...Ae6, el blanco puede Cxe6. ¿Con qué pieza recaptura el negro y qué plan nace?","...Txe6. La torre queda activa en sexta fila/e-file y puede doblarse o atacar c4. Recapturar con la dama, si fuera posible, sería más pasivo y expondría la dama a tiempos.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E30
RAR-E31,ejercicio,Ejercicio 31,Ampliación D,f2f4 d7d5 g1f3 g8f6,rnbqkb1r/ppp1pppp/5n2/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3,Blancas,"Tras 1.f4 d5 2.Cf3 Cf6, ¿qué estructura negra eliges frente a e3?",progresivo,"Plan/candidata blanca de la posición: Tras 1.f4 d5 2.Cf3 Cf6, ¿qué estructura negra eliges frente a e3?",...g6. Prepara ...Ag7 y enroque; después ...c5 cuestionará d4. ...e5 sería menos natural porque el peón f4 ya controla e5.,Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E31
RAR-E32,ejercicio,Ejercicio 32,Ampliación D,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7,rnbqk2r/ppp1ppbp/5np1/3p4/5P2/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 1 5,Blancas,"Con b3 y ...Ag7, ¿qué jugada blanca natural debes anticipar y qué sigue para el negro?",progresivo,"Plan/candidata blanca de la posición: Con b3 y ...Ag7, ¿qué jugada blanca natural debes anticipar y qué sigue para el negro?",5.Ab2 O-O. El negro no necesita atacar b2: enroca y prepara ...c5. La prioridad es completar desarrollo antes de romper.,Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E32
RAR-E33,ejercicio,Ejercicio 33,Ampliación D,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5,rnbq1rk1/pp2ppbp/5np1/2pp4/5P2/1P2PN2/PBPPB1PP/RN1QK2R w KQ c6 0 7,Blancas,"Tras ...c5, ¿qué jugada blanca completa desarrollo y qué caballo negro debe salir?",progresivo,"Plan/candidata blanca de la posición: Tras ...c5, ¿qué jugada blanca completa desarrollo y qué caballo negro debe salir?",7.O-O Cc6. El caballo aumenta presión sobre d4/e5 y permite responder a Ce5. ...b6 sería más lento y no cuestiona el centro.,Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E33
RAR-E34,ejercicio,Ejercicio 34,Ampliación D,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5 e1g1 b8c6 f3e5 c8d7,r2q1rk1/pp1bppbp/2n2np1/2ppN3/5P2/1P2P3/PBPPB1PP/RN1Q1RK1 w - - 4 9,Blancas,"Con Ce5 en el centro, compara ...Ad7 y ...Cd7.",progresivo,"Plan/candidata blanca de la posición: Con Ce5 en el centro, compara ...Ad7 y ...Cd7.","...Ad7. Desarrolla el alfil c8 y prepara ...Tc8. ...Cd7 puede desafiar Ce5, pero bloquea el alfil y coordina peor las piezas.",Derivado de las partidas modelo; respuesta concreta posición por posición.,RAR-E34
